,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
39272,33,admin.,single,university.degree,no,no,no,cellular,mar,mon,427,1,6,2,success,-1.8,93.369,-34.8,0.6459999999999999,5008.7,yes
29710,35,admin.,married,university.degree,no,yes,no,cellular,apr,mon,129,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
25097,45,management,married,university.degree,no,no,no,cellular,nov,tue,401,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
28507,42,self-employed,married,university.degree,no,yes,no,cellular,apr,tue,216,1,999,1,failure,-1.8,93.075,-47.1,1.423,5099.1,yes
36362,34,technician,married,university.degree,no,yes,no,cellular,jun,tue,195,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
38386,21,student,single,high.school,no,no,no,cellular,oct,mon,328,1,999,0,nonexistent,-3.4,92.431,-26.9,0.7390000000000001,5017.5,yes
21342,44,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,mon,312,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
27870,36,admin.,married,high.school,no,yes,no,cellular,mar,thu,220,3,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.584,5099.1,yes
12707,42,admin.,single,university.degree,unknown,yes,no,cellular,jul,mon,719,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes
7710,38,services,married,high.school,unknown,no,no,telephone,may,fri,293,6,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
40494,48,self-employed,divorced,university.degree,no,no,no,cellular,aug,fri,222,4,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,yes
40067,21,student,single,unknown,no,yes,no,cellular,jul,thu,968,1,13,2,failure,-1.7,94.215,-40.3,0.81,4991.6,yes
37308,67,retired,married,professional.course,no,yes,yes,cellular,aug,mon,71,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.884,5076.2,no
9698,28,entrepreneur,single,high.school,no,yes,no,telephone,jun,mon,419,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
29564,42,services,married,high.school,no,yes,no,cellular,apr,mon,200,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
17597,36,technician,divorced,university.degree,no,no,yes,cellular,jul,mon,127,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
6662,33,admin.,married,university.degree,no,no,no,telephone,may,wed,664,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
24005,42,self-employed,married,basic.4y,no,no,no,telephone,oct,fri,478,1,999,0,nonexistent,-0.1,93.79799999999999,-40.4,5.045,5195.8,yes
29887,54,management,married,university.degree,unknown,no,no,cellular,apr,mon,138,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
24828,56,self-employed,divorced,high.school,no,no,no,cellular,nov,tue,79,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
40065,21,student,single,unknown,no,no,no,telephone,jul,thu,250,1,12,1,success,-1.7,94.215,-40.3,0.81,4991.6,yes
26160,38,technician,married,professional.course,no,yes,yes,cellular,nov,wed,11,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
38554,30,technician,married,professional.course,no,yes,yes,cellular,oct,thu,1707,2,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
25680,33,technician,married,university.degree,no,no,no,cellular,nov,wed,200,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
17816,56,admin.,divorced,university.degree,no,no,no,cellular,jul,tue,213,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
17337,42,self-employed,married,university.degree,no,no,no,cellular,jul,mon,243,30,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
17723,53,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,tue,648,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes
33826,38,self-employed,married,basic.9y,no,no,yes,cellular,may,wed,234,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
